plr_id,plr_name,longitude,latitude
10200525,"Schleipfuhl",13.615275,52.529495
11300725,"Nibelungenviertel",13.500836,52.515530
11100307,"Zingster Straße Ost",13.502502,52.569726
12200308,"Mellerbogen",13.319940,52.573304
06200421,"Königsberger Straße",13.319551,52.430770
01400938,"Kameruner Straße",13.341673,52.546119
03500934,"Weißenseer Spitze",13.436463,52.553463
06400735,"Wannsee",13.141231,52.419835
09200717,"Dörpfeldstraße Ost",13.551970,52.439944
06400844,"Dahlem",13.287840,52.461264
06300634,"Lichterfelde West",13.293347,52.436772
02500726,"Hausburgviertel",13.451924,52.523646
12601032,"Rollbergesiedlung",13.331364,52.607787
05100315,"Ackerstraße",13.198893,52.545255
12400722,"Hermsdorf West",13.297300,52.614066
08300934,"Gropiusstadt Nord-West",13.460597,52.430328
05100208,"Im Spektefeld",13.158490,52.549564
05100207,"An der Tränke",13.135771,52.550569
02500835,"Stralauer Kiez",13.458382,52.501433
05200528,"Weinmeisterhornweg",13.170297,52.510507
04400832,"Breite Straße",13.296577,52.472088
12400619,"Heiligensee",13.255368,52.595144
01401047,"Sparrplatz",13.360093,52.543047
11200512,"Orankesee",13.481248,52.544689
03601243,"Rodenbergstraße",13.418767,52.551099
10400835,"Kaulsdorf Nord",13.602410,52.519977
05100313,"Eiswerder",13.214272,52.551992
09301228,"Schmöckwitz/Rauchfangswerder",13.657382,52.372297
09300921,"Preußen Siedlung",13.557976,52.412991
10100316,"Landsberger Tor",13.577727,52.539553
11401032,"Rosenfelder Ring",13.510547,52.512248
05100317,"Freiheit",13.224734,52.530357
06200315,"Gallwitzallee",13.346421,52.426684
04400833,"Schlangenbader Straße",13.305219,52.473118
09501838,"Rahnsdorf",13.702960,52.444148
03601244,"Humannplatz",13.425337,52.548782
12400720,"Frohnau West",13.277203,52.632453
11501340,"Karlshorst Nord",13.538490,52.485615
07200414,"Hohenfriedbergstraße",13.368136,52.486499
07200410,"Feurigstraße",13.354174,52.483516
09301126,"Grünau",13.595738,52.405507
04501152,"Prager Platz",13.333704,52.491464
09401329,"Kietzer Feld/Nachtheide",13.625314,52.425284
01100312,"Heine-Viertel West",13.410597,52.510609
01200522,"Elberfelder Straße",13.335257,52.521649
03200207,"Herthaplatz",13.414063,52.591696
05200629,"Borkumer Straße",13.190111,52.531423
07601237,"Kirchstraße",13.372610,52.415268
03601139,"Norweger Viertel",13.405951,52.556175
11100309,"Mühlengrund",13.513440,52.561241
08100416,"Alt-Rixdorf",13.443705,52.475064
11200410,"Malchower Weg",13.505252,52.556349
03300517,"Märchenland",13.477752,52.582911
03100101,"Bucher Forst",13.464644,52.640408
07200308,"Volkspark (Rudolph-Wilde-Park)",13.343015,52.481686
08200833,"Buckow Ost",13.446338,52.420735
07400823,"Wittekindstraße",13.373784,52.463416
07501134,"Hundsteinweg",13.399608,52.432067
09401433,"Allende II",13.609861,52.437822
10400837,"Kaulsdorf Süd",13.580468,52.491759
05100101,"Hakenfelde Nord",13.179991,52.578687
08401139,"Vogelviertel Süd",13.460246,52.435766
03400829,"Arnold-Zweig-Straße",13.420794,52.561917
04200310,"Fürstenplatz",13.267448,52.510641
11400929,"Weitlingkiez",13.495895,52.505164
10200629,"Teterower Ring",13.581585,52.519089
12100204,"Schäfersee",13.352445,52.564879
05100211,"An der Kappe",13.168095,52.543613
06200314,"Kaiser-Wilhelm-Straße",13.337703,52.430730
04200203,"Olympiagelände",13.234859,52.518483
09401534,"Altstadt Köpenick",13.577983,52.442697
07200409,"Belziger Straße",13.351211,52.487024
05400943,"Jägerallee",13.133545,52.467340
04200206,"Kranzallee",13.229818,52.505960
10100209,"Lea-Grundig-Straße",13.567949,52.550086
04300518,"Kaiserin-Augusta-Allee",13.308001,52.527798
11200411,"Hauptstraße",13.515835,52.546040
01300732,"Soldiner Straße",13.391773,52.559001
07501030,"Machonstraße",13.382804,52.446398
04400830,"Forckenbeckstraße",13.297885,52.480189
01200521,"Zwinglistraße",13.332318,52.525634
10200422,"Hellersdorfer Promenade",13.607428,52.542344
10400938,"Mahlsdorf Nord",13.632005,52.521959
08100209,"Glasower Straße",13.439891,52.466179
03300412,"Karow Bahnhof",13.470324,52.612802
